title,geolocation,domain,network,subnetwork
SW Arkansas Times,Arkansas,swarkansastimes.com,Metric Media Network,Metric Media
Upper Delta News,Arkansas,upperdeltanews.com,Metric Media Network,Metric Media
AR Business Daily,Arkansas,arbusinessdaily.com,Metric Media Network,Metro Business Network
Natural State Business News,Arkansas,arbiztoday.com,Metric Media Network,Metro Business Network
The Desert Mag,California,thedesertmag.com,Metric Media Network,GateHouse Media
Antelope Valley Today,California,antelopevalleytoday.com,Metric Media Network,Metric Media
Central Alameda News,California,centralalamedanews.com,Metric Media Network,Metric Media
Central OC Times,California,centraloctimes.com,Metric Media Network,Metric Media
Chico Times,California,chicotimes.com,Metric Media Network,Metric Media
Coachella Today,California,coachellatoday.com,Metric Media Network,Metric Media
East Alameda News,California,eastalamedanews.com,Metric Media Network,Metric Media
East Contra Costa News,California,eastcontracostanews.com,Metric Media Network,Metric Media
East SBV Times,California,eastsbvtimes.com,Metric Media Network,Metric Media
East SFV Today,California,eastsfvtoday.com,Metric Media Network,Metric Media
East San Diego News,California,eastsandiegonews.com,Metric Media Network,Metric Media
East Sierra News,California,eastsierranews.com,Metric Media Network,Metric Media
East Ventura News,California,eastventuranews.com,Metric Media Network,Metric Media
Fresno Leader,California,fresnoleader.com,Metric Media Network,Metric Media
Gold Country Today,California,goldcountrytoday.com,Metric Media Network,Metric Media
Golden State Today,California,goldenstatetoday.com,Metric Media Network,Metric Media
Imperial CA News,California,imperialcanews.com,Metric Media Network,Metric Media
Kern County Times,California,kerncountytimes.com,Metric Media Network,Metric Media
Kings County Times,California,kingscountytimes.com,Metric Media Network,Metric Media
LA Harbor News,California,laharbornews.com,Metric Media Network,Metric Media
LAX Leader,California,laxleader.com,Metric Media Network,Metric Media
Lake Tahoe Sun,California,laketahoesun.com,Metric Media Network,Metric Media
Marin Leader,California,marinleader.com,Metric Media Network,Metric Media
Merced Times,California,mercedtimes.com,Metric Media Network,Metric Media
Monterey Times,California,montereytimes.com,Metric Media Network,Metric Media
NE Cali News,California,necalinews.com,Metric Media Network,Metric Media
NE Sacramento News,California,nesacramentonews.com,Metric Media Network,Metric Media
NW LA Times,California,nwlatimes.com,Metric Media Network,Metric Media
NW Riverside News,California,nwriversidenews.com,Metric Media Network,Metric Media
North Coast California News,California,northcoastcanews.com,Metric Media Network,Metric Media
North Inland News,California,northinlandnews.com,Metric Media Network,Metric Media
North OC Times,California,northoctimes.com,Metric Media Network,Metric Media
North SFV Today,California,northsfvtoday.com,Metric Media Network,Metric Media
North SGV News,California,northsgvnews.com,Metric Media Network,Metric Media
North Sacramento Today,California,northsactoday.com,Metric Media Network,Metric Media
Oakland Record,California,oaklandrecord.com,Metric Media Network,Metric Media
Pomona Valley News,California,pomonavalleynews.com,Metric Media Network,Metric Media
Redding Today,California,reddingtoday.com,Metric Media Network,Metric Media
Redwood Empire News,California,redwoodempirenews.com,Metric Media Network,Metric Media
SE LA Times,California,selatimes.com,Metric Media Network,Metric Media
SFV Today,California,sfvtoday.com,Metric Media Network,Metric Media
SGV Standard,California,sgvstandard.com,Metric Media Network,Metric Media
SLO Reporter,California,sloreporter.com,Metric Media Network,Metric Media
SW Riverside News,California,swriversidenews.com,Metric Media Network,Metric Media
Sacramento Standard,California,sacramentostandard.com,Metric Media Network,Metric Media
San Diego Record,California,sandiegorecord.com,Metric Media Network,Metric Media
San Francisco Sun,California,sanfranciscosun.com,Metric Media Network,Metric Media
San Francisco Sun,California,sanfransun.com,Metric Media Network,Metric Media
San Joaquin Times,California,sanjoaquintimes.com,Metric Media Network,Metric Media
San Jose Standard,California,sanjosestandard.com,Metric Media Network,Metric Media
San Mateo Sun,California,sanmateosun.com,Metric Media Network,Metric Media
Santa Clara Today,California,santaclaratoday.com,Metric Media Network,Metric Media
Santa Cruz Standard,California,santacruzstandard.com,Metric Media Network,Metric Media
Solano Sun,California,solanosun.com,Metric Media Network,Metric Media
South Alameda News,California,southalamedanews.com,Metric Media Network,Metric Media
South Bay Leader,California,southbayleader.com,Metric Media Network,Metric Media
South Bay SD News,California,southbaysdnews.com,Metric Media Network,Metric Media
South OC Times,California,southoctimes.com,Metric Media Network,Metric Media
South SF Bay News,California,southsfbaynews.com,Metric Media Network,Metric Media
South SFV Today,California,southsfvtoday.com,Metric Media Network,Metric Media
South SGV News,California,southsgvnews.com,Metric Media Network,Metric Media
South Sacramento Today,California,southsactoday.com,Metric Media Network,Metric Media
Stanislaus News,California,stanislausnews.com,Metric Media Network,Metric Media
Tulare Times,California,tularetimes.com,Metric Media Network,Metric Media
Verdugos News,California,verdugosnews.com,Metric Media Network,Metric Media
Victor Valley Times,California,victorvalleytimes.com,Metric Media Network,Metric Media
West Contra Costa News,California,westcontracostanews.com,Metric Media Network,Metric Media
West El Dorado News,California,westeldoradonews.com,Metric Media Network,Metric Media
West LA Times,California,westlatimes.com,Metric Media Network,Metric Media
West OC Times,California,westoctimes.com,Metric Media Network,Metric Media
West SBV Times,California,westsbvtimes.com,Metric Media Network,Metric Media
West SFV Today,California,westsfvtoday.com,Metric Media Network,Metric Media
West SGV News,California,westsgvnews.com,Metric Media Network,Metric Media
West Ventura News,California,westventuranews.com,Metric Media Network,Metric Media
Wine Country Times,California,winecountrytimes.com,Metric Media Network,Metric Media
Yuba-Sutter Times,California,yubasuttertimes.com,Metric Media Network,Metric Media
CA Business Daily,California,cabusinessdaily.com,Metric Media Network,Metro Business Network
Coachella Valley Times,California,coachellavalleytimes.com,Metric Media Network,Pipeline Advisors
Northern California Record,California,norcalrecord.com,Metric Media Network,Record
Southern California Record,California,socalrecord.com,Metric Media Network,Record
Toronto Business Daily,Canada,torontobusinessdaily.com,Metric Media Network,Metro Business Network
Adams County Times,Colorado,adamscountytimes.com,Metric Media Network,Metric Media
Boulder Leader,Colorado,boulderleader.com,Metric Media Network,Metric Media
Centennial State News,Colorado,centennialstatenews.com,Metric Media Network,Metric Media
Central Colorado News,Colorado,centralcoloradonews.com,Metric Media Network,Metric Media
Denver City Wire,Colorado,denvercitywire.com,Metric Media Network,Metric Media
East Arapahoe News,Colorado,eastarapahoenews.com,Metric Media Network,Metric Media
Grand Junction Times,Colorado,grandjunctiontimes.com,Metric Media Network,Metric Media
Larimer News,Colorado,larimernews.com,Metric Media Network,Metric Media
NE Colorado News,Colorado,necoloradonews.com,Metric Media Network,Metric Media
North Jefferson County News,Colorado,northjeffconews.com,Metric Media Network,Metric Media
SE Colorado News,Colorado,secoloradonews.com,Metric Media Network,Metric Media
SE Denver News,Colorado,sedenvernews.com,Metric Media Network,Metric Media
SW Colorado News,Colorado,swcoloradonews.com,Metric Media Network,Metric Media
South Jefferson County News,Colorado,southjeffconews.com,Metric Media Network,Metric Media
Springs Times,Colorado,springstimes.com,Metric Media Network,Metric Media
West Arapahoe News,Colorado,westarapahoenews.com,Metric Media Network,Metric Media
CO Business Daily,Colorado,cobusinessdaily.com,Metric Media Network,Metro Business Network
Bridgeport Times,Connecticut,bridgeporttimes.com,Metric Media Network,Metric Media
Constitution State News,Connecticut,constitutionstatenews.com,Metric Media Network,Metric Media
Hartford Reporter,Connecticut,hartfordreporter.com,Metric Media Network,Metric Media
Housatonic Valley News,Connecticut,housatonicvalleynews.com,Metric Media Network,Metric Media
Litchfield Hills Today,Connecticut,litchfieldhillstoday.com,Metric Media Network,Metric Media
NE Connecticut News,Connecticut,neconnnews.com,Metric Media Network,Metric Media
NW Connecticut News,Connecticut,nwconnnews.com,Metric Media Network,Metric Media
Naugatuck Times,Connecticut,naugatucktimes.com,Metric Media Network,Metric Media
SC Connecticut News,Connecticut,scconnnews.com,Metric Media Network,Metric Media
SE Connecticut News,Connecticut,seconnnews.com,Metric Media Network,Metric Media
SW Connecticut News,Connecticut,swconnnews.com,Metric Media Network,Metric Media
CT Business Daily,Connecticut,ctbusinessdaily.com,Metric Media Network,Metro Business Network
First State Times,Delaware,firststatetimes.com,Metric Media Network,Metric Media
Kent County Today,Delaware,kentcountytoday.com,Metric Media Network,Metric Media
North New Castle News,Delaware,northnewcastlenews.com,Metric Media Network,Metric Media
South New Castle News,Delaware,southnewcastlenews.com,Metric Media Network,Metric Media
Sussex Review,Delaware,sussexreview.com,Metric Media Network,Metric Media
DE Business Daily,Delaware,debusinessdaily.com,Metric Media Network,Metro Business Network
Florida Catholic Tribune,Florida,flcatholictribune.com,Metric Media Network,Franklin Archer
Brevard Sun,Florida,brevardsun.com,Metric Media Network,Metric Media
Central Broward News,Florida,centralbrowardnews.com,Metric Media Network,Metric Media
Clay County Times,Florida,claycotimes.com,Metric Media Network,Metric Media
Duval Times,Florida,duvaltimes.com,Metric Media Network,Metric Media
East Hillsborough News,Florida,easthillsboroughnews.com,Metric Media Network,Metric Media
East Panhandle News,Florida,eastpanhandlenews.com,Metric Media Network,Metric Media
East Volusia News,Florida,eastvolusianews.com,Metric Media Network,Metric Media
Emerald Coast Times,Florida,emeraldcoasttimes.com,Metric Media Network,Metric Media
Hernando Reporter,Florida,hernandoreporter.com,Metric Media Network,Metric Media
Key West Reporter,Florida,keywestreporter.com,Metric Media Network,Metric Media
Lee Today,Florida,leetoday.com,Metric Media Network,Metric Media
Manatee Review,Florida,manateereview.com,Metric Media Network,Metric Media
Miami Courant,Florida,miamicourant.com,Metric Media Network,Metric Media
NC Florida News,Florida,ncfloridanews.com,Metric Media Network,Metric Media
NE Florida News,Florida,nefloridanews.com,Metric Media Network,Metric Media
Naples Standard,Florida,naplesstandard.com,Metric Media Network,Metric Media
Nature Coast Times,Florida,naturecoasttimes.com,Metric Media Network,Metric Media
North Broward News,Florida,northbrowardnews.com,Metric Media Network,Metric Media
North Lake Times,Florida,northlaketimes.com,Metric Media Network,Metric Media
North Miami-Dade News,Florida,northmianews.com,Metric Media Network,Metric Media
North Orlando News,Florida,northorlandonews.com,Metric Media Network,Metric Media
North Palm Beach Today,Florida,northpalmbeachtoday.com,Metric Media Network,Metric Media
North Panhandle News,Florida,northpanhandlenews.com,Metric Media Network,Metric Media
North Pinellas News,Florida,northpinellasnews.com,Metric Media Network,Metric Media
Ocala Standard,Florida,ocalastandard.com,Metric Media Network,Metric Media
Okeechobee Times,Florida,okeechobeetimes.com,Metric Media Network,Metric Media
Orlando Standard,Florida,orlandostandard.com,Metric Media Network,Metric Media
Palm Coast Times,Florida,palmcoasttimes.com,Metric Media Network,Metric Media
Panama City Reporter,Florida,panamacityreporter.com,Metric Media Network,Metric Media
Pasco Reporter,Florida,pascoreporter.com,Metric Media Network,Metric Media
Pensacola Times,Florida,pensacolatimes.com,Metric Media Network,Metric Media
Pinellas Times,Florida,pinellastimes.com,Metric Media Network,Metric Media
Polk Times,Florida,polktimes.com,Metric Media Network,Metric Media
Sarasota Review,Florida,sarasotareview.com,Metric Media Network,Metric Media
South Broward News,Florida,southbrowardnews.com,Metric Media Network,Metric Media
South Lake Today,Florida,southlaketoday.com,Metric Media Network,Metric Media
South Miami-Dade News,Florida,southmianews.com,Metric Media Network,Metric Media
South Orlando News,Florida,southorlandonews.com,Metric Media Network,Metric Media
South Palm Beach Today,Florida,southpalmbeachtoday.com,Metric Media Network,Metric Media
South Pinellas Times,Florida,southpinellastimes.com,Metric Media Network,Metric Media
St. Pete Standard,Florida,stpetestandard.com,Metric Media Network,Metric Media
Sumter Times,Florida,sumtertimes.com,Metric Media Network,Metric Media
Sun Shine Sentinel,Florida,sunshinesentinel.com,Metric Media Network,Metric Media
Tallahassee Sun,Florida,tallahasseesun.com,Metric Media Network,Metric Media
Tampa Republic,Florida,tamparepublic.com,Metric Media Network,Metric Media
Treasure Coast Sun,Florida,treasurecoastsun.com,Metric Media Network,Metric Media
West Florida News,Florida,westflnews.com,Metric Media Network,Metric Media
West Hillsborough News,Florida,westhillsboroughnews.com,Metric Media Network,Metric Media
West Volusia News,Florida,westvolusianews.com,Metric Media Network,Metric Media
FL Business Daily,Florida,flbusinessdaily.com,Metric Media Network,Metro Business Network
Florida Record,Florida,flarecord.com,Metric Media Network,Record
ATL Standard,Georgia,atlstandard.com,Metric Media Network,Metric Media
Albany Standard,Georgia,albanystandard.com,Metric Media Network,Metric Media
Athens Reporter,Georgia,athensreporter.com,Metric Media Network,Metric Media
Central Georgia News,Georgia,centralgeorgianews.com,Metric Media Network,Metric Media
Coastal GA News,Georgia,coastalganews.com,Metric Media Network,Metric Media
Cobb Reporter,Georgia,cobbreporter.com,Metric Media Network,Metric Media
DeKalb GA News,Georgia,dekalbganews.com,Metric Media Network,Metric Media
East Central Georgia News,Georgia,ecgeorgianews.com,Metric Media Network,Metric Media
Georgia Mountain News,Georgia,georgiamountainnews.com,Metric Media Network,Metric Media
Macon Times,Georgia,macontimes.com,Metric Media Network,Metric Media
NC Georgia News,Georgia,ncgeorgianews.com,Metric Media Network,Metric Media
NE Atlanta News,Georgia,neatlantanews.com,Metric Media Network,Metric Media
NW Atlanta News,Georgia,nwatlantanews.com,Metric Media Network,Metric Media
NW Georgia News,Georgia,nwgeorgianews.com,Metric Media Network,Metric Media
North Fulton Today,Georgia,northfultontoday.com,Metric Media Network,Metric Media
North Gwinnett News,Georgia,northgwinnettnews.com,Metric Media Network,Metric Media
Peach Tree Times,Georgia,peachtreetimes.com,Metric Media Network,Metric Media
Rome Reporter,Georgia,romereporter.com,Metric Media Network,Metric Media
SE Atlanta News,Georgia,seatlantanews.com,Metric Media Network,Metric Media
SE Georgia News,Georgia,segeorgianews.com,Metric Media Network,Metric Media
SW Georgia News,Georgia,swgeorgianews.com,Metric Media Network,Metric Media
Savannah Standard,Georgia,savannahstandard.com,Metric Media Network,Metric Media
South Atlanta News,Georgia,southatlantanews.com,Metric Media Network,Metric Media
South Fulton Today,Georgia,southfultontoday.com,Metric Media Network,Metric Media
South Georgia Times,Georgia,southgeorgiatimes.com,Metric Media Network,Metric Media
South Gwinnett News,Georgia,southgwinnettnews.com,Metric Media Network,Metric Media
WC Georgia News,Georgia,wcgeorgianews.com,Metric Media Network,Metric Media
Warner Robins Today,Georgia,warnerrobinstoday.com,Metric Media Network,Metric Media
West Atlanta News,Georgia,westatlantanews.com,Metric Media Network,Metric Media
GA Business Daily,Georgia,gabusinessdaily.com,Metric Media Network,Metro Business Network
Globe Banner,Global,globebanner.com,Metric Media Network,Metric Media
Guatemala Business Daily,Guatemala,guatemalabusinessdaily.com,Metric Media Network,Metro Business Network
Aloha State News,Hawaii,alohastatenews.com,Metric Media Network,Metric Media
Big Island Times,Hawaii,ohanatimes.com,Metric Media Network,Metric Media
Big Island Times,Hawaii,bigislandtimes.com,Metric Media Network,Metric Media
Honolulu Reporter,Hawaii,honolulureporter.com,Metric Media Network,Metric Media
Kauai Sun,Hawaii,kauaisun.com,Metric Media Network,Metric Media
Maui Reporter,Hawaii,mauireporter.com,Metric Media Network,Metric Media
HI Business Daily,Hawaii,hibusinessdaily.com,Metric Media Network,Metro Business Network
Ada Reporter,Idaho,adareporter.com,Metric Media Network,Metric Media
Boise City Wire,Idaho,boisecitywire.com,Metric Media Network,Metric Media
CDA Reporter,Idaho,cdareporter.com,Metric Media Network,Metric Media
Central Idaho Times,Idaho,centralidahotimes.com,Metric Media Network,Metric Media
East Idaho Times,Idaho,eastidahotimes.com,Metric Media Network,Metric Media
Gem State Wire,Idaho,gemstatewire.com,Metric Media Network,Metric Media
Magic Valley Times,Idaho,magicvalleytimes.com,Metric Media Network,Metric Media
North Idaho Times,Idaho,northidahotimes.com,Metric Media Network,Metric Media
Pocatello Times,Idaho,pocatellotimes.com,Metric Media Network,Metric Media
Treasure Valley Times,Idaho,treasurevalleytimes.com,Metric Media Network,Metric Media
ID Business Daily,Idaho,idbusinessdaily.com,Metric Media Network,Metro Business Network
Salem Newswire,Illinois,salemnewswire.com,Metric Media Network,?
West Loop Today,Illinois,westlooptoday.com,Metric Media Network,Franklin Archer
Carbondale Reporter,Illinois,carbondalereporter.com,Metric Media Network,LGIS
Chambana Sun,Illinois,chambanasun.com,Metric Media Network,LGIS
Chicago City Wire,Illinois,chicagocitywire.com,Metric Media Network,LGIS
DeKalb Times,Illinois,dekalbtimes.com,Metric Media Network,LGIS
DuPage Policy Journal,Illinois,dupagepolicyjournal.com,Metric Media Network,LGIS
East Central Reporter,Illinois,eastcentralreporter.com,Metric Media Network,LGIS
Galesburg Reporter,Illinois,galesburgreporter.com,Metric Media Network,LGIS
Grundy Reporter,Illinois,grundyreporter.com,Metric Media Network,LGIS
Illinois Valley Times,Illinois,illinoisvalleytimes.com,Metric Media Network,LGIS
Kane County Reporter,Illinois,kanecountyreporter.com,Metric Media Network,LGIS
Kankakee Times,Illinois,kankakeetimes.com,Metric Media Network,LGIS
Kendall County Times,Illinois,kendallcountytimes.com,Metric Media Network,LGIS
Lake County Gazette,Illinois,lakecountygazette.com,Metric Media Network,LGIS
Macon Reporter,Illinois,maconreporter.com,Metric Media Network,LGIS
McClean County Times,Illinois,mcleancountytimes.com,Metric Media Network,LGIS
McHenry Times,Illinois,mchenrytimes.com,Metric Media Network,LGIS
Metro East Sun,Illinois,metroeastsun.com,Metric Media Network,LGIS
NW Illinois News,Illinois,nwillinoisnews.com,Metric Media Network,LGIS
North Cook News,Illinois,northcooknews.com,Metric Media Network,LGIS
North Egypt News,Illinois,northegyptnews.com,Metric Media Network,LGIS
Peoria Standard,Illinois,peoriastandard.com,Metric Media Network,LGIS
Prairie State Wire,Illinois,prairiestatewire.com,Metric Media Network,LGIS
Quincy Reporter,Illinois,quincyreporter.com,Metric Media Network,LGIS
Rock Island Today,Illinois,rockislandtoday.com,Metric Media Network,LGIS
Rockford Sun,Illinois,rockfordsun.com,Metric Media Network,LGIS
SE Illinois News,Illinois,seillinoisnews.com,Metric Media Network,LGIS
SIL News,Illinois,silnews.com,Metric Media Network,LGIS
SW Illinois News,Illinois,swillinoisnews.com,Metric Media Network,LGIS
Sangamon Sun,Illinois,sangamonsun.com,Metric Media Network,LGIS
South Central Reporter,Illinois,southcentralreporter.com,Metric Media Network,LGIS
South Cook News,Illinois,southcooknews.com,Metric Media Network,LGIS
West Central Reporter,Illinois,westcentralreporter.com,Metric Media Network,LGIS
West Cook News,Illinois,westcooknews.com,Metric Media Network,LGIS
Will County Gazette,Illinois,willcountygazette.com,Metric Media Network,LGIS
Suburban Marquee,Illinois,suburbanmarquee.com,Metric Media Network,Metric Media
IL Business Daily,Illinois,ilbusinessdaily.com,Metric Media Network,Metro Business Network
Cook County Record,Illinois,cookcountyrecord.com,Metric Media Network,Record
Madison Record,Illinois,madisonrecord.com,Metric Media Network,Record
Anderson Reporter,Indiana,andersonreporter.com,Metric Media Network,Metric Media
Bloomington Leader,Indiana,bloomingtonleader.com,Metric Media Network,Metric Media
Columbus Standard,Indiana,columbusstandard.com,Metric Media Network,Metric Media
